title,text,label
Aliens Land in New York,Social media posts falsely claim that aliens land in new york. No credible evidence supports the story.,0
Miracle Pill Cures All Diseases,Social media posts falsely claim that miracle pill cures all diseases. No credible evidence supports the story.,0
Moon Turns Green Overnight,Social media posts falsely claim that moon turns green overnight. No credible evidence supports the story.,0
Celebrity Revealed as Time Traveler,Social media posts falsely claim that celebrity revealed as time traveler. No credible evidence supports the story.,0
Government Bans Weekends,Social media posts falsely claim that government bans weekends. No credible evidence supports the story.,0
Dinosaurs Found Alive,Social media posts falsely claim that dinosaurs found alive. No credible evidence supports the story.,0
Chocolate Causes Instant Weight Loss,Social media posts falsely claim that chocolate causes instant weight loss. No credible evidence supports the story.,0
Scientists Confirm Flying Cars by Next Month,Social media posts falsely claim that scientists confirm flying cars by next month. No credible evidence supports the story.,0
Secret City Found Under Ocean,Social media posts falsely claim that secret city found under ocean. No credible evidence supports the story.,0
Cats Elected as Town Leaders,Social media posts falsely claim that cats elected as town leaders. No credible evidence supports the story.,0
Invisible Cloak Sold Online,Social media posts falsely claim that invisible cloak sold online. No credible evidence supports the story.,0
Man Lives 300 Years,Social media posts falsely claim that man lives 300 years. No credible evidence supports the story.,0
Sun Will Not Rise Tomorrow,Social media posts falsely claim that sun will not rise tomorrow. No credible evidence supports the story.,0
Trees Start Walking in Forest,Social media posts falsely claim that trees start walking in forest. No credible evidence supports the story.,0
Gold Found in Every Backyard,Social media posts falsely claim that gold found in every backyard. No credible evidence supports the story.,0
Telepathy App Reads Minds,Social media posts falsely claim that telepathy app reads minds. No credible evidence supports the story.,0
Dragon Spotted Near Mountain,Social media posts falsely claim that dragon spotted near mountain. No credible evidence supports the story.,0
Water Replaced by Juice Nationwide,Social media posts falsely claim that water replaced by juice nationwide. No credible evidence supports the story.,0
Earth to Gain Second Moon,Social media posts falsely claim that earth to gain second moon. No credible evidence supports the story.,0
School Replaces Books with Games,Social media posts falsely claim that school replaces books with games. No credible evidence supports the story.,0
Coffee Makes People Fly,Social media posts falsely claim that coffee makes people fly. No credible evidence supports the story.,0
Sharks Found in City Fountain,Social media posts falsely claim that sharks found in city fountain. No credible evidence supports the story.,0
Robot Becomes President,Social media posts falsely claim that robot becomes president. No credible evidence supports the story.,0
Volcano Erupts Ice Cream,Social media posts falsely claim that volcano erupts ice cream. No credible evidence supports the story.,0
Ancient Wizard Discovered,Social media posts falsely claim that ancient wizard discovered. No credible evidence supports the story.,0
Government Announces Education Reform,Multiple verified sources reported that government announces education reform. The event was documented and confirmed.,1
Scientists Discover New Exoplanet,Multiple verified sources reported that scientists discover new exoplanet. The event was documented and confirmed.,1
Local Hospital Opens New Wing,Multiple verified sources reported that local hospital opens new wing. The event was documented and confirmed.,1
Researchers Develop Better Battery,Multiple verified sources reported that researchers develop better battery. The event was documented and confirmed.,1
City Launches Recycling Program,Multiple verified sources reported that city launches recycling program. The event was documented and confirmed.,1
New Bridge Opens to Traffic,Multiple verified sources reported that new bridge opens to traffic. The event was documented and confirmed.,1
Health Officials Release Guidelines,Multiple verified sources reported that health officials release guidelines. The event was documented and confirmed.,1
University Publishes Climate Study,Multiple verified sources reported that university publishes climate study. The event was documented and confirmed.,1
Technology Firm Expands Workforce,Multiple verified sources reported that technology firm expands workforce. The event was documented and confirmed.,1
Farmers Report Strong Harvest,Multiple verified sources reported that farmers report strong harvest. The event was documented and confirmed.,1
Space Agency Tests New Rocket,Multiple verified sources reported that space agency tests new rocket. The event was documented and confirmed.,1
Library Introduces Digital Services,Multiple verified sources reported that library introduces digital services. The event was documented and confirmed.,1
Economic Report Shows Growth,Multiple verified sources reported that economic report shows growth. The event was documented and confirmed.,1
Wildlife Conservation Project Expands,Multiple verified sources reported that wildlife conservation project expands. The event was documented and confirmed.,1
New Public Transport Route Added,Multiple verified sources reported that new public transport route added. The event was documented and confirmed.,1
Researchers Study Ocean Temperatures,Multiple verified sources reported that researchers study ocean temperatures. The event was documented and confirmed.,1
School Hosts Science Fair,Multiple verified sources reported that school hosts science fair. The event was documented and confirmed.,1
Medical Team Completes Trial,Multiple verified sources reported that medical team completes trial. The event was documented and confirmed.,1
Renewable Energy Use Increases,Multiple verified sources reported that renewable energy use increases. The event was documented and confirmed.,1
City Plants Thousands of Trees,Multiple verified sources reported that city plants thousands of trees. The event was documented and confirmed.,1
Engineers Improve Water System,Multiple verified sources reported that engineers improve water system. The event was documented and confirmed.,1
Museum Opens New Exhibit,Multiple verified sources reported that museum opens new exhibit. The event was documented and confirmed.,1
Local Team Wins Championship,Multiple verified sources reported that local team wins championship. The event was documented and confirmed.,1
Airport Upgrades Security Systems,Multiple verified sources reported that airport upgrades security systems. The event was documented and confirmed.,1
Community Center Launches Program,Multiple verified sources reported that community center launches program. The event was documented and confirmed.,1
